Airline,Departure_Airport,Arrival_Airport,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Departure_Hour,Departure_Day,Departure_Weekday,Departure_Month
united,den,sea,248,on-time,1700,381.92,65,female,medium,leisure,premium economy,3,none,airport kiosk,5.9,3.0,74,0,1,window,4,5,2,6
delta,jfk,sfo,155,on-time,1669,245.85,28,male,medium,leisure,business,1,none,desk,8.6,7.0,56,0,0,window,23,27,1,8
southwest,sea,dfw,151,on-time,1463,323.04,45,male,medium,leisure,economy,3,none,mobile app,10.0,12.0,5,0,0,window,9,2,5,3
american airlines,dfw,den,224,on-time,1560,294.71,78,male,medium,family,premium economy,1,none,mobile app,8.5,8.0,77,0,1,aisle,16,15,5,7
united,sfo,lax,321,on-time,1173,433.9,46,male,medium,family,premium economy,2,none,desk,7.3,10.0,29,0,0,aisle,15,10,2,1
united,lax,sea,240,on-time,732,376.92,33,male,medium,business,business,3,platinum,online,5.5,3.0,43,0,0,middle,0,10,3,4
delta,atl,sea,169,cancelled,1380,352.2,51,male,low,emergency,economy,1,silver,mobile app,7.5,3.0,45,1,0,aisle,16,8,0,7
jetblue,den,lax,87,on-time,1281,271.27,78,female,high,business,economy,2,none,mobile app,5.2,2.0,4,0,0,aisle,16,4,1,6
delta,den,ord,245,on-time,793,377.36,21,female,medium,family,economy,2,silver,desk,8.1,1.0,12,0,0,aisle,7,25,0,11
southwest,lax,atl,223,on-time,1489,376.72,55,male,medium,emergency,economy,0,none,desk,5.4,6.0,44,0,0,window,3,7,2,2
american airlines,sea,sea,186,on-time,1353,398.82,26,female,high,family,premium economy,0,none,airport kiosk,8.7,11.0,105,0,0,middle,0,20,6,8
american airlines,dfw,sea,188,delayed,1013,422.86,26,male,high,leisure,economy,2,none,online,6.6,32.0,44,0,0,aisle,12,7,4,3
united,dfw,den,170,on-time,1474,489.92,62,female,low,business,premium economy,1,none,mobile app,6.8,11.0,92,0,0,aisle,6,4,4,4
jetblue,sfo,lax,143,on-time,1275,448.23,49,female,medium,emergency,business,0,none,mobile app,6.4,1.0,113,0,0,window,7,12,4,4
southwest,sfo,ord,158,on-time,952,582.95,36,female,medium,leisure,economy,0,none,mobile app,4.3,17.0,82,0,0,middle,18,26,3,10
jetblue,dfw,sea,282,on-time,1000,405.08,65,male,low,family,economy,1,none,airport kiosk,6.2,8.0,27,0,1,middle,13,8,0,1
delta,dfw,lax,163,on-time,1372,504.2,51,female,medium,leisure,economy,2,gold,online,8.7,9.0,12,0,1,window,4,12,1,11
jetblue,sfo,den,141,on-time,1172,348.25,66,female,high,emergency,economy,1,none,online,5.6,0.0,105,0,0,window,10,23,3,1
delta,ord,sfo,90,delayed,1214,300.29,35,female,medium,family,economy,1,silver,mobile app,6.8,7.0,109,0,0,aisle,2,22,6,10
delta,jfk,sfo,212,on-time,1091,527.92,64,male,low,business,economy,1,none,mobile app,6.8,13.0,115,1,0,middle,22,7,4,7
united,atl,dfw,38,on-time,1758,243.08,52,female,medium,business,economy,0,silver,airport kiosk,9.2,2.0,117,0,1,middle,8,14,1,11
american airlines,sfo,atl,259,on-time,939,527.44,22,male,low,family,business,0,silver,desk,6.7,11.0,85,0,0,middle,8,26,2,7
american airlines,atl,sfo,270,on-time,1208,409.42,64,female,high,emergency,economy,1,none,airport kiosk,8.6,20.0,81,0,0,middle,14,27,2,3
delta,atl,jfk,78,on-time,1206,374.71,59,female,low,emergency,business,2,platinum,desk,7.5,15.0,1,0,0,middle,7,1,6,10
american airlines,dfw,ord,209,on-time,1031,328.12,23,female,medium,emergency,business,3,platinum,desk,8.4,2.0,35,0,0,middle,14,4,0,9
delta,atl,sea,206,cancelled,338,206.65,31,female,low,family,economy,0,silver,mobile app,8.6,5.0,114,0,0,window,11,19,3,10
jetblue,sea,ord,138,delayed,1162,205.07,53,male,low,business,first,1,none,mobile app,8.8,1.0,9,0,0,aisle,21,15,3,2
jetblue,sea,jfk,62,on-time,1051,252.66,41,female,medium,emergency,economy,0,silver,airport kiosk,8.2,26.0,112,0,0,window,13,29,0,4
southwest,den,lax,226,on-time,2201,473.13,57,male,high,family,premium economy,0,none,airport kiosk,6.1,3.0,3,1,0,middle,17,27,3,3
southwest,dfw,sfo,235,on-time,997,266.56,42,female,high,business,economy,3,none,mobile app,8.2,3.0,54,0,1,window,12,21,4,6
delta,ord,atl,187,on-time,896,471.63,54,female,high,family,economy,1,silver,mobile app,6.8,2.0,5,0,0,middle,12,26,4,4
delta,sea,lax,303,on-time,794,309.74,68,female,low,leisure,economy,1,silver,desk,6.1,6.0,63,0,0,aisle,9,12,0,6
southwest,ord,sfo,282,on-time,924,488.29,46,male,high,business,economy,0,none,mobile app,8.0,12.0,6,0,1,window,15,13,0,5
southwest,sea,atl,218,on-time,1238,368.52,79,male,high,leisure,economy,1,none,desk,9.0,23.0,17,0,0,aisle,18,10,5,2
southwest,atl,lax,152,on-time,947,339.41,51,male,high,emergency,economy,0,none,online,6.0,8.0,82,1,0,middle,11,23,3,1
jetblue,sfo,ord,160,on-time,1282,243.54,79,female,low,leisure,premium economy,1,none,online,4.6,12.0,89,0,1,middle,12,7,1,1
southwest,den,sfo,210,on-time,1412,403.78,70,male,medium,leisure,economy,0,silver,desk,7.9,6.0,33,0,0,window,13,5,2,7
delta,lax,dfw,167,delayed,1434,332.76,26,female,low,leisure,economy,2,none,mobile app,4.7,3.0,48,0,0,window,0,22,6,10
southwest,ord,dfw,139,on-time,1154,376.23,65,female,medium,emergency,economy,1,none,mobile app,6.0,14.0,102,0,0,aisle,13,13,5,1
jetblue,den,lax,172,on-time,1387,296.24,79,male,medium,family,economy,1,none,desk,6.9,7.0,73,0,0,aisle,10,4,5,5
jetblue,ord,den,152,on-time,1201,337.07,77,male,high,emergency,economy,3,none,desk,6.4,11.0,37,0,0,aisle,0,4,4,4
jetblue,atl,lax,129,on-time,1902,368.51,50,female,low,business,economy,0,silver,online,4.9,2.0,95,0,0,middle,5,13,1,6
united,den,sea,81,on-time,1159,323.03,60,female,medium,business,economy,4,none,airport kiosk,5.1,4.0,47,0,0,window,19,12,6,5
southwest,sfo,lax,166,on-time,1201,259.42,60,male,medium,leisure,premium economy,0,none,mobile app,6.7,1.0,47,0,0,window,9,13,3,6
southwest,ord,dfw,228,on-time,1400,329.91,52,female,low,family,economy,0,silver,desk,6.3,1.0,17,0,0,window,10,31,2,5
jetblue,dfw,ord,118,on-time,1423,404.81,57,male,low,business,business,2,none,online,6.5,13.0,65,0,0,middle,19,19,4,7
united,jfk,ord,186,delayed,1044,304.35,57,female,medium,leisure,premium economy,1,none,mobile app,5.6,1.0,8,0,0,middle,20,19,2,3
american airlines,ord,lax,140,on-time,1330,289.52,25,female,high,family,economy,1,none,online,5.0,19.0,27,0,0,middle,17,29,2,1
southwest,sfo,lax,191,delayed,1665,408.57,23,male,medium,family,economy,1,none,airport kiosk,6.6,1.0,111,0,0,aisle,19,15,5,3
delta,ord,lax,105,on-time,1274,553.9,49,female,medium,leisure,economy,5,none,desk,9.8,9.0,70,0,1,middle,6,15,0,4
jetblue,sfo,dfw,227,on-time,1559,499.32,19,female,high,business,first,0,silver,mobile app,5.1,6.0,16,0,0,window,22,14,1,11
jetblue,dfw,sea,162,on-time,987,418.47,58,female,high,business,economy,1,silver,airport kiosk,7.5,10.0,43,0,0,window,7,13,6,4
delta,lax,ord,187,on-time,570,400.0,72,male,medium,family,premium economy,2,none,airport kiosk,5.9,41.0,71,0,0,aisle,23,23,0,12
delta,atl,dfw,243,on-time,1091,496.36,36,female,high,emergency,business,2,none,online,7.9,12.0,57,0,0,middle,17,14,4,6
delta,lax,sea,156,on-time,1011,312.41,60,female,medium,emergency,economy,1,none,mobile app,7.1,3.0,75,0,1,aisle,17,10,2,5
jetblue,sfo,den,124,on-time,1163,422.72,69,female,medium,leisure,economy,0,silver,desk,7.1,7.0,34,0,0,middle,12,12,4,5
united,atl,sea,199,on-time,1260,314.51,30,male,medium,emergency,economy,2,silver,mobile app,7.2,6.0,61,0,0,window,6,21,3,11
jetblue,den,sea,207,on-time,1112,262.39,19,male,medium,emergency,economy,2,platinum,desk,7.4,12.0,40,0,0,window,16,19,0,6
delta,atl,ord,301,on-time,1207,110.15,47,female,medium,leisure,economy,3,none,online,8.4,6.0,30,0,0,middle,15,4,4,8
united,lax,ord,192,on-time,1452,359.5,39,female,low,business,business,1,none,airport kiosk,5.3,5.0,16,0,0,aisle,22,22,0,1
united,ord,den,214,on-time,1053,412.69,78,male,medium,leisure,economy,2,none,online,4.3,4.0,68,0,0,window,0,24,4,1
jetblue,lax,sea,246,on-time,1079,385.47,32,female,low,emergency,economy,1,none,online,7.4,3.0,55,0,0,window,1,24,4,11
southwest,sea,den,80,on-time,1048,502.39,19,male,medium,emergency,economy,1,none,online,5.8,8.0,74,0,0,window,13,9,3,11
southwest,sea,atl,238,on-time,1015,262.01,69,male,low,family,economy,1,none,mobile app,8.9,10.0,4,0,0,window,9,12,3,10
delta,lax,sea,107,on-time,1326,531.25,68,male,high,business,economy,1,none,online,7.7,10.0,38,0,0,middle,7,25,2,10
delta,ord,dfw,222,on-time,1042,372.25,20,male,medium,emergency,economy,1,none,desk,4.6,1.0,106,0,0,aisle,21,13,2,12
united,sea,sea,103,delayed,1575,321.26,64,male,low,family,premium economy,1,platinum,online,7.6,14.0,47,0,0,aisle,7,20,1,6
american airlines,dfw,jfk,167,on-time,1015,147.13,60,male,high,family,economy,3,none,desk,8.2,1.0,66,0,0,middle,20,23,0,9
southwest,sfo,den,219,delayed,1360,405.47,25,male,medium,emergency,economy,0,silver,mobile app,7.2,23.0,97,0,1,aisle,13,17,3,4
delta,sea,dfw,233,on-time,721,375.53,41,female,medium,business,premium economy,1,silver,airport kiosk,6.5,62.0,36,0,0,middle,21,24,6,3
delta,sfo,sea,238,on-time,1377,333.87,61,male,low,leisure,economy,1,none,mobile app,7.6,3.0,118,0,0,middle,13,11,0,9
american airlines,jfk,sea,185,on-time,1789,222.87,67,female,medium,business,economy,1,none,mobile app,7.0,13.0,94,0,0,aisle,14,18,6,2
jetblue,ord,jfk,228,on-time,674,417.58,19,male,high,family,first,0,platinum,mobile app,6.0,1.0,73,0,0,window,0,13,5,5
delta,dfw,ord,225,delayed,1398,210.82,45,female,medium,business,economy,0,none,airport kiosk,8.8,1.0,9,0,1,aisle,8,23,5,9
united,atl,jfk,139,on-time,988,528.6,22,female,low,emergency,premium economy,1,none,online,3.8,22.0,96,0,0,aisle,7,18,6,8
jetblue,jfk,lax,158,on-time,1018,275.64,38,female,high,emergency,economy,0,silver,mobile app,8.0,4.0,53,0,0,aisle,16,10,0,6
american airlines,ord,sfo,216,on-time,1553,304.64,28,male,medium,emergency,premium economy,0,platinum,online,7.8,7.0,6,0,0,window,12,22,0,4
united,ord,lax,186,on-time,1259,449.56,60,female,high,family,business,2,none,online,7.2,1.0,13,0,0,aisle,22,6,1,8
american airlines,sea,atl,182,on-time,1851,419.46,24,male,medium,family,premium economy,0,silver,airport kiosk,9.3,33.0,118,0,0,aisle,4,8,0,7
jetblue,atl,dfw,150,delayed,988,412.57,34,female,high,leisure,premium economy,1,silver,mobile app,6.0,3.0,48,0,0,window,17,8,4,3
delta,den,ord,308,on-time,1410,242.37,29,male,low,family,premium economy,1,none,airport kiosk,9.9,6.0,0,0,0,middle,8,15,0,7
jetblue,ord,lax,323,on-time,1125,383.71,46,male,medium,emergency,first,0,none,airport kiosk,7.7,13.0,13,0,0,aisle,20,14,0,10
united,sea,lax,135,on-time,1817,408.64,21,male,medium,business,economy,0,gold,online,7.0,3.0,94,0,0,window,7,14,2,8
american airlines,atl,sea,161,on-time,1526,283.98,73,male,medium,emergency,economy,2,none,online,9.2,36.0,55,0,1,middle,5,1,5,7
jetblue,den,sfo,120,delayed,1454,189.63,68,male,medium,business,economy,4,none,airport kiosk,7.1,8.0,55,1,0,window,16,20,1,8
southwest,jfk,dfw,174,on-time,960,234.3,43,male,medium,family,economy,0,silver,online,8.3,20.0,64,0,0,middle,2,16,6,7
delta,dfw,jfk,153,on-time,1341,351.66,40,female,high,family,economy,0,silver,mobile app,6.9,13.0,25,0,0,aisle,3,7,3,12
jetblue,lax,lax,179,on-time,966,341.78,25,male,low,family,economy,3,none,mobile app,7.3,28.0,46,0,0,window,22,19,4,1
southwest,atl,sea,228,on-time,1057,459.5,45,male,medium,leisure,first,4,none,online,5.4,7.0,101,0,0,middle,22,17,4,1
jetblue,dfw,ord,122,cancelled,1222,369.92,39,female,low,family,economy,0,none,desk,7.7,9.0,12,0,0,middle,9,26,6,1
southwest,den,atl,174,on-time,1470,272.94,38,male,low,business,economy,2,none,mobile app,3.9,1.0,7,1,1,window,14,15,1,4
delta,den,dfw,251,on-time,868,396.59,66,male,medium,business,premium economy,2,none,airport kiosk,6.9,40.0,46,0,0,window,15,14,6,4
jetblue,dfw,sea,100,on-time,805,453.25,37,male,high,family,economy,3,none,online,8.3,10.0,116,0,0,window,0,10,4,5
southwest,sea,den,27,delayed,1159,160.49,18,male,medium,leisure,business,2,none,airport kiosk,6.1,4.0,103,0,0,aisle,9,7,4,6
american airlines,lax,ord,225,delayed,1055,416.45,56,female,high,leisure,business,4,none,mobile app,7.6,44.0,30,0,0,aisle,11,21,0,10
delta,den,sfo,43,on-time,1492,244.59,51,female,high,leisure,economy,0,none,desk,8.4,4.0,78,0,0,window,19,7,1,11
american airlines,sfo,atl,179,on-time,757,362.04,37,male,low,leisure,business,2,none,online,8.6,2.0,58,0,0,window,19,8,4,9
american airlines,lax,sea,195,on-time,1038,238.35,49,male,high,emergency,business,1,silver,mobile app,3.4,2.0,101,0,0,aisle,17,11,2,10
jetblue,atl,atl,246,on-time,1582,349.39,76,female,medium,emergency,economy,2,none,online,6.0,33.0,119,0,0,window,8,27,2,12
american airlines,sfo,atl,228,on-time,1506,255.16,25,male,medium,emergency,economy,1,none,online,2.4,1.0,29,0,0,aisle,22,21,3,9
delta,lax,dfw,202,on-time,1154,255.81,31,female,low,emergency,economy,3,none,mobile app,8.0,35.0,97,0,0,middle,7,5,1,11
american airlines,sea,lax,132,on-time,1142,396.03,55,male,low,emergency,premium economy,0,none,online,4.9,1.0,94,0,0,middle,8,10,1,12
southwest,atl,sfo,174,on-time,927,301.31,65,female,medium,emergency,economy,0,silver,online,5.1,11.0,52,0,0,window,3,8,4,12
delta,ord,atl,246,on-time,1481,310.37,56,male,high,business,business,0,silver,airport kiosk,7.0,8.0,101,0,0,middle,16,17,3,8
southwest,jfk,atl,118,delayed,1002,263.06,67,male,medium,leisure,business,0,gold,desk,6.5,2.0,75,0,0,aisle,5,14,1,11
american airlines,lax,lax,126,delayed,1000,328.29,28,male,medium,family,premium economy,1,none,online,8.1,8.0,3,0,0,aisle,20,12,4,4
southwest,atl,jfk,138,on-time,1102,423.17,67,female,medium,family,economy,1,none,mobile app,6.4,2.0,90,0,0,aisle,5,30,6,6
united,sea,dfw,238,on-time,798,417.07,29,female,medium,leisure,business,1,gold,online,6.1,28.0,102,0,0,window,17,7,6,4
delta,dfw,ord,129,on-time,1650,455.4,60,male,low,business,business,1,none,desk,8.1,5.0,38,0,0,aisle,7,4,6,6
united,ord,sea,165,on-time,819,444.7,63,male,medium,emergency,premium economy,1,platinum,online,6.6,66.0,116,0,0,window,18,29,4,11
jetblue,ord,atl,153,on-time,1702,528.38,39,male,low,leisure,business,1,none,airport kiosk,8.0,1.0,112,0,0,window,6,10,1,10
delta,ord,lax,263,on-time,1096,370.98,58,male,medium,business,economy,1,silver,airport kiosk,7.0,20.0,20,1,0,aisle,15,4,3,4
united,sfo,den,207,on-time,642,398.94,76,male,low,emergency,premium economy,0,none,airport kiosk,9.2,0.0,101,0,0,aisle,20,19,1,12
delta,ord,den,214,on-time,1065,419.22,40,female,high,business,economy,2,silver,airport kiosk,7.4,35.0,38,0,0,middle,11,10,6,11
american airlines,jfk,den,146,on-time,1433,412.6,65,male,high,business,economy,1,none,desk,6.1,23.0,76,0,0,middle,17,20,0,5
american airlines,ord,dfw,272,on-time,1157,334.03,36,male,medium,emergency,economy,4,silver,online,5.1,0.0,88,0,0,middle,1,1,0,5
american airlines,ord,den,254,on-time,892,238.2,29,male,high,business,economy,1,none,desk,8.8,4.0,31,0,0,aisle,8,2,3,11
southwest,atl,jfk,85,on-time,969,226.34,28,female,low,family,business,0,silver,mobile app,8.2,2.0,55,0,0,window,13,23,1,1
delta,atl,jfk,160,on-time,1222,561.37,22,male,low,leisure,business,1,none,airport kiosk,7.3,4.0,6,0,1,window,20,5,3,10
southwest,atl,dfw,157,on-time,1252,220.75,24,male,medium,business,business,3,none,desk,5.2,26.0,102,0,0,window,15,24,4,11
delta,jfk,jfk,91,on-time,837,352.14,56,male,high,business,first,2,silver,desk,5.5,9.0,7,0,0,middle,1,10,6,3
delta,ord,sea,109,on-time,1115,207.25,55,male,low,emergency,first,1,none,airport kiosk,5.5,9.0,37,0,1,window,19,5,3,9
american airlines,sfo,ord,177,on-time,1294,284.78,44,female,medium,leisure,premium economy,1,silver,airport kiosk,6.8,30.0,53,0,0,middle,11,14,4,6
delta,atl,sfo,162,cancelled,878,359.91,67,female,high,leisure,economy,2,platinum,desk,9.3,20.0,70,0,0,middle,18,2,6,6
delta,sea,sfo,176,on-time,1348,434.7,70,female,high,business,premium economy,1,none,online,10.0,8.0,44,0,0,aisle,15,8,4,9
delta,dfw,den,196,on-time,953,315.64,38,female,low,business,business,0,silver,mobile app,5.9,22.0,104,0,0,window,9,21,3,3
delta,sea,sfo,151,on-time,1446,322.08,75,female,medium,emergency,economy,1,silver,online,7.7,5.0,2,0,0,window,15,21,3,12
american airlines,lax,ord,209,on-time,881,336.6,56,female,medium,emergency,economy,0,platinum,desk,9.5,20.0,107,0,0,aisle,22,4,1,6
southwest,ord,dfw,172,on-time,1392,235.68,48,female,low,leisure,economy,0,gold,mobile app,8.8,1.0,43,0,0,window,12,14,3,9
united,sfo,lax,269,on-time,1588,305.87,42,female,medium,business,business,1,none,online,8.8,13.0,85,0,0,window,23,23,0,9
delta,dfw,den,58,on-time,849,261.34,56,male,medium,family,economy,0,platinum,mobile app,7.0,3.0,25,0,0,aisle,8,17,2,1
southwest,ord,ord,77,on-time,1084,510.62,51,female,medium,leisure,economy,0,none,airport kiosk,6.3,39.0,95,0,0,aisle,14,8,3,2
delta,atl,dfw,64,on-time,877,311.72,77,male,medium,emergency,business,0,none,online,6.2,8.0,99,0,0,middle,6,3,5,8
american airlines,ord,jfk,84,on-time,764,335.96,24,male,low,business,economy,1,none,desk,7.4,4.0,119,0,0,middle,21,2,0,9
delta,den,lax,132,delayed,999,400.65,36,male,low,family,premium economy,1,silver,desk,8.6,10.0,22,0,0,middle,13,18,1,3
jetblue,atl,atl,85,on-time,1106,290.66,25,female,medium,business,business,0,silver,online,6.5,2.0,0,0,0,aisle,22,6,5,1
southwest,den,dfw,161,on-time,1419,243.09,78,female,medium,business,economy,1,platinum,online,7.3,0.0,117,0,0,aisle,2,6,2,12
american airlines,den,jfk,37,delayed,1495,317.39,19,male,high,emergency,first,2,none,airport kiosk,5.9,1.0,47,0,0,middle,9,12,1,12
jetblue,sfo,lax,151,on-time,859,356.12,56,female,medium,business,first,0,none,desk,5.8,25.0,71,0,0,aisle,17,17,1,10
american airlines,jfk,sea,96,delayed,1140,470.46,34,female,medium,family,business,0,none,mobile app,5.9,6.0,72,0,0,middle,21,17,5,8
delta,sea,jfk,152,on-time,1634,274.93,71,female,medium,leisure,business,2,none,online,7.7,13.0,40,0,0,middle,19,19,6,5
american airlines,dfw,den,199,delayed,875,367.0,31,male,medium,leisure,business,0,gold,mobile app,4.5,7.0,45,0,0,middle,21,8,4,9
delta,lax,den,129,on-time,1222,263.03,38,male,low,emergency,business,1,silver,desk,8.0,8.0,5,0,0,window,23,6,4,12
american airlines,ord,ord,148,on-time,1313,366.04,36,male,low,business,economy,1,silver,online,10.0,7.0,18,0,0,middle,2,5,5,10
delta,lax,atl,189,on-time,723,382.26,38,male,medium,emergency,premium economy,1,silver,online,7.6,3.0,67,0,1,aisle,11,11,6,2
jetblue,den,sfo,240,delayed,1083,346.53,72,female,high,leisure,economy,1,none,airport kiosk,9.6,4.0,116,0,0,window,11,24,6,11
united,lax,jfk,107,on-time,1381,538.61,50,male,low,leisure,business,1,gold,desk,9.4,6.0,32,0,0,window,21,7,5,10
jetblue,ord,ord,163,on-time,832,537.21,34,female,low,emergency,business,0,none,mobile app,7.2,4.0,63,0,0,aisle,4,19,6,11
southwest,jfk,den,183,on-time,1360,367.58,58,male,medium,emergency,economy,2,none,airport kiosk,5.6,16.0,78,0,1,aisle,6,17,4,11
jetblue,atl,lax,151,on-time,844,341.76,19,female,medium,leisure,business,1,gold,desk,6.0,22.0,88,0,0,aisle,19,16,1,7
united,ord,den,99,on-time,878,231.73,78,male,high,leisure,economy,0,none,airport kiosk,6.6,14.0,22,0,1,aisle,13,26,3,12
american airlines,ord,sea,126,on-time,1002,427.27,67,female,medium,emergency,premium economy,0,none,desk,6.9,3.0,42,0,0,middle,14,27,3,3
united,jfk,dfw,195,on-time,1055,421.92,75,male,high,business,economy,2,silver,online,6.4,15.0,74,0,0,aisle,19,24,2,7
jetblue,sea,ord,151,on-time,969,486.52,21,male,medium,family,economy,1,none,desk,5.0,4.0,58,0,0,middle,16,23,4,8
delta,sfo,sfo,157,on-time,1809,442.18,78,female,low,leisure,business,2,silver,mobile app,8.3,17.0,57,0,0,window,13,13,0,5
delta,den,sea,125,on-time,1359,308.14,28,female,low,family,premium economy,0,none,airport kiosk,8.0,22.0,41,0,0,middle,21,25,3,1
delta,den,sea,142,on-time,1241,296.05,18,female,medium,emergency,economy,0,silver,mobile app,6.2,4.0,40,0,0,middle,13,16,0,10
delta,ord,atl,187,cancelled,1211,332.79,58,male,medium,emergency,business,1,none,online,6.9,24.0,69,0,0,middle,14,20,2,9
southwest,jfk,lax,241,on-time,1123,316.66,57,female,high,emergency,economy,0,gold,airport kiosk,6.8,4.0,77,0,0,middle,21,23,2,10
delta,ord,jfk,200,on-time,1362,347.51,58,female,medium,business,economy,1,silver,online,5.8,13.0,49,0,0,middle,14,19,3,10
united,den,dfw,179,on-time,1435,212.89,78,male,high,business,economy,0,none,online,8.0,0.0,17,0,0,window,2,3,4,11
united,jfk,jfk,192,on-time,1143,451.03,77,male,low,leisure,premium economy,1,gold,online,6.9,19.0,20,0,0,window,17,24,0,3
delta,ord,ord,267,delayed,1199,309.66,18,male,medium,business,economy,1,silver,desk,6.1,6.0,94,0,0,window,6,7,5,10
united,ord,sfo,130,on-time,1527,401.63,63,female,medium,emergency,first,1,gold,mobile app,5.4,31.0,114,0,0,window,16,20,3,2
american airlines,lax,jfk,228,on-time,1544,393.51,61,male,medium,family,business,0,none,online,5.7,5.0,11,0,0,aisle,20,29,4,11
delta,ord,jfk,293,on-time,879,351.3,42,male,low,leisure,business,1,silver,mobile app,7.6,6.0,32,0,0,window,9,16,3,11
southwest,den,lax,131,delayed,1254,488.56,27,female,medium,emergency,economy,1,silver,desk,8.6,2.0,51,0,0,aisle,15,15,4,11
united,ord,den,67,on-time,1245,410.86,61,female,high,leisure,economy,0,none,mobile app,5.8,6.0,60,1,0,aisle,4,28,6,1
southwest,sfo,ord,158,on-time,994,438.75,27,male,medium,family,economy,1,none,airport kiosk,7.5,13.0,104,0,0,aisle,3,22,1,8
american airlines,dfw,dfw,304,delayed,1343,219.42,38,female,medium,family,business,3,platinum,mobile app,8.5,25.0,86,0,0,aisle,4,14,2,2
southwest,sea,jfk,158,delayed,724,266.35,32,male,high,family,economy,2,gold,airport kiosk,7.0,4.0,4,0,0,window,15,1,4,12
delta,sfo,sea,242,on-time,1305,499.38,33,female,medium,emergency,economy,0,none,airport kiosk,7.6,19.0,87,0,0,aisle,6,24,6,11
united,atl,jfk,152,on-time,877,313.58,35,female,medium,leisure,business,1,platinum,airport kiosk,7.8,8.0,87,0,1,aisle,1,23,5,11
delta,lax,jfk,203,cancelled,1048,513.89,42,female,medium,leisure,premium economy,0,silver,mobile app,5.3,3.0,113,0,0,aisle,23,20,2,3
southwest,den,dfw,217,on-time,1327,324.4,42,male,medium,leisure,business,2,none,mobile app,7.0,0.0,39,0,0,aisle,16,3,1,10
united,sea,atl,185,on-time,1087,191.36,59,male,medium,family,economy,1,none,online,6.5,5.0,13,0,0,middle,22,16,5,11
delta,lax,jfk,152,on-time,1224,548.09,30,male,medium,business,economy,0,none,mobile app,7.0,18.0,95,0,0,middle,11,5,3,10
american airlines,sea,ord,219,delayed,1047,273.69,63,male,high,emergency,economy,1,none,airport kiosk,4.9,26.0,87,0,0,middle,19,27,4,10
southwest,atl,den,274,on-time,996,369.87,64,male,medium,emergency,economy,1,gold,online,4.7,6.0,56,0,0,middle,8,10,3,4
southwest,dfw,atl,265,delayed,825,393.67,47,male,medium,business,economy,1,none,mobile app,4.8,25.0,24,0,0,middle,21,19,5,10
united,atl,den,214,on-time,1287,417.84,52,male,low,leisure,economy,2,gold,online,8.2,1.0,40,0,0,window,16,24,1,12
jetblue,dfw,den,168,delayed,1272,408.65,66,male,low,leisure,economy,0,none,mobile app,7.9,9.0,32,0,1,middle,18,20,5,4
american airlines,den,atl,240,delayed,1175,224.33,46,female,medium,business,business,0,none,desk,4.5,6.0,34,0,0,aisle,17,8,1,4
delta,den,atl,191,on-time,1251,372.73,64,female,medium,emergency,premium economy,0,silver,mobile app,4.0,7.0,67,0,1,aisle,20,15,5,3
american airlines,sea,den,121,on-time,1342,413.91,64,male,medium,leisure,business,1,none,mobile app,7.0,17.0,82,0,0,middle,2,27,3,6
united,lax,dfw,168,on-time,1216,231.87,43,female,high,business,economy,4,platinum,desk,7.0,13.0,83,0,0,middle,1,19,0,6
jetblue,dfw,ord,130,on-time,1265,229.25,68,female,medium,family,economy,0,silver,desk,9.5,16.0,23,0,0,aisle,23,15,0,7
delta,jfk,lax,234,on-time,1191,214.1,22,female,high,family,premium economy,1,silver,online,6.0,13.0,45,1,1,middle,11,10,5,2
delta,sea,lax,257,on-time,891,413.83,66,male,medium,leisure,economy,1,none,mobile app,8.7,15.0,34,0,1,window,15,30,0,10
delta,dfw,jfk,45,on-time,1221,341.26,22,male,low,leisure,economy,0,none,online,6.6,15.0,97,0,0,aisle,9,25,6,8
delta,den,sfo,130,on-time,1154,368.98,32,male,medium,leisure,premium economy,0,platinum,online,6.4,26.0,90,0,0,middle,8,2,0,10
delta,sea,den,234,delayed,1130,160.07,27,female,medium,business,business,1,none,online,6.0,5.0,84,0,0,window,10,18,3,4
united,sea,lax,112,cancelled,1211,374.29,55,male,medium,family,business,0,none,mobile app,6.7,10.0,35,0,0,aisle,11,19,0,6
american airlines,ord,ord,246,on-time,1336,311.92,18,female,low,business,business,0,silver,mobile app,5.6,4.0,64,0,0,middle,11,17,6,3
delta,dfw,sea,247,on-time,1625,192.74,60,female,low,emergency,business,1,none,online,9.5,33.0,119,0,0,window,17,3,1,9
southwest,dfw,ord,140,on-time,808,289.32,28,female,medium,family,business,2,silver,desk,8.5,11.0,43,0,0,middle,5,8,4,3
american airlines,ord,dfw,258,on-time,920,184.49,73,female,medium,family,economy,0,silver,desk,8.2,17.0,115,0,0,middle,0,13,5,4
southwest,lax,sea,205,on-time,923,365.63,59,female,low,family,first,0,none,mobile app,7.8,10.0,17,0,0,aisle,1,22,1,4
jetblue,ord,atl,203,on-time,1236,172.17,46,male,medium,family,economy,0,none,desk,7.7,7.0,12,0,0,aisle,1,24,0,7
